Date,Open,High,Low,Close,% Change,% Change vs Average,Volume
2018-07-29T18:30:00.000Z,395,397.5,387.65,390.8,-0.98,-1.05,"16,49,794"
2018-07-30T18:30:00.000Z,389.75,401.5,386.15,399.75,2.29,2.22,"25,02,908"
2018-07-31T18:30:00.000Z,402.95,402.95,395.05,399,-0.19,-0.26,"17,74,615"
2018-08-01T18:30:00.000Z,397.6,404.6,394,399.15,0.04,-0.04,"29,66,243"
2018-08-02T18:30:00.000Z,399.05,403.5,398.15,399.55,0.1,0.03,"16,32,617"
2018-08-05T18:30:00.000Z,403.5,406.4,395.3,397.35,-0.55,-0.62,"28,17,990"
2018-08-06T18:30:00.000Z,393.5,394.45,369.2,372.3,-6.3,-6.38,"96,35,717"
2018-08-07T18:30:00.000Z,375,376.55,369.65,374.6,0.62,0.54,"32,76,532"
2018-08-08T18:30:00.000Z,376,381,371.55,378,0.91,0.83,"19,92,284"
2018-08-09T18:30:00.000Z,377.3,382.1,376,379.3,0.34,0.27,"11,42,258"
2018-08-12T18:30:00.000Z,378,379.6,374.65,377.15,-0.57,-0.64,"14,38,549"
2018-08-13T18:30:00.000Z,377.55,378.7,371,373.15,-1.06,-1.13,"15,01,909"
2018-08-15T18:30:00.000Z,372,374.1,367.3,370.3,-0.76,-0.84,"23,76,448"
2018-08-16T18:30:00.000Z,371,379.1,371,374.1,1.03,0.95,"19,83,257"
2018-08-19T18:30:00.000Z,376.4,379.5,374.15,378.25,1.11,1.04,"12,80,487"
2018-08-20T18:30:00.000Z,378.55,382,375.4,377.95,-0.08,-0.15,"15,92,878"
2018-08-22T18:30:00.000Z,379.7,385.6,372.5,384.5,1.73,1.66,"20,12,760"
2018-08-23T18:30:00.000Z,385,387.8,375,376.75,-2.02,-2.09,"20,85,488"
2018-08-26T18:30:00.000Z,378,382.3,375.55,378.65,0.5,0.43,"20,55,581"
2018-08-27T18:30:00.000Z,380.4,388.4,376.15,386.95,2.19,2.12,"51,28,415"
2018-08-28T18:30:00.000Z,383.25,393.3,383.25,385.9,-0.27,-0.34,"32,34,342"
2018-08-29T18:30:00.000Z,386.2,389.2,380.1,383.75,-0.56,-0.63,"35,66,612"
2018-08-30T18:30:00.000Z,384,394,381.2,383.15,-0.16,-0.23,"39,31,829"
2018-09-02T18:30:00.000Z,384,392.95,378.45,384.45,0.34,0.27,"27,44,322"
2018-09-03T18:30:00.000Z,384.55,386.95,372.45,373.75,-2.78,-2.86,"29,60,605"
2018-09-04T18:30:00.000Z,374.3,380.5,368.5,379.2,1.46,1.38,"22,76,777"
2018-09-05T18:30:00.000Z,381.5,387.5,374.65,384.8,1.48,1.4,"18,20,623"
2018-09-06T18:30:00.000Z,383.05,385.6,375.65,377.45,-1.91,-1.98,"18,59,785"
